time (minutes),A,B
16.1466666666667,34624.6809518562,57707.2795857119
16.1475,34624.6809518704,57707.2797364716
16.1483333333333,34624.6809518846,57707.2798871878
16.1491666666667,34624.6809518988,57707.2800378605
16.15,34624.6809519129,57707.2801884896
16.1508333333333,34624.6809519271,57707.2803390753
16.1516666666667,34624.6809519412,57707.2804896175
16.1525,34624.6809519554,57707.2806401162
16.1533333333333,34624.6809519695,57707.2807905714
16.1541666666667,34624.6809519837,57707.2809409832
16.155,34624.6809519978,57707.2810913516
16.1558333333333,34624.6809520119,57707.2812416765
16.1566666666667,34624.680952026,57707.281391958
16.1575,34624.6809520401,57707.2815421962
16.1583333333333,34624.6809520542,57707.2816923909
16.1591666666667,34624.6809520683,57707.2818425423
16.16,34624.6809520824,57707.2819926503
16.1608333333333,34624.6809520965,57707.282142715
16.1616666666667,34624.6809521106,57707.2822927363
16.1625,34624.6809521246,57707.2824427144
16.1633333333333,34624.6809521387,57707.2825926491
16.1641666666667,34624.6809521528,57707.2827425405
16.165,34624.6809521668,57707.2828923886
16.1658333333333,34624.6809521808,57707.2830421935
16.1666666666667,34624.6809521949,57707.2831919551
16.1675,34624.6809522089,57707.2833416734
16.1683333333333,34624.6809522229,57707.2834913486
16.1691666666667,34624.6809522369,57707.2836409805
16.17,34624.680952251,57707.2837905692
16.1708333333333,34624.6809522649,57707.2839401147
16.1716666666667,34624.6809522789,57707.284089617
16.1725,34624.6809522929,57707.2842390761
16.1733333333333,34624.6809523069,57707.2843884921
16.1741666666667,34624.6809523209,57707.284537865
16.175,34624.6809523348,57707.2846871947
16.1758333333333,34624.6809523488,57707.2848364812
16.1766666666667,34624.6809523628,57707.2849857247
16.1775,34624.6809523767,57707.2851349251
16.1783333333333,34624.6809523906,57707.2852840824
16.1791666666667,34624.6809524046,57707.2854331966
16.18,34624.6809524185,57707.2855822678
16.1808333333333,34624.6809524324,57707.2857312959
16.1816666666667,34624.6809524463,57707.285880281
16.1825,34624.6809524602,57707.286029223
16.1833333333333,34624.6809524741,57707.2861781221
16.1841666666667,34624.680952488,57707.2863269781
16.185,34624.6809525019,57707.2864757912
16.1858333333333,34624.6809525158,57707.2866245613
16.1866666666667,34624.6809525297,57707.2867732884
16.1875,34624.6809525435,57707.2869219726
16.1883333333333,34624.6809525574,57707.2870706139
16.1891666666667,34624.6809525712,57707.2872192122
16.19,34624.6809525851,57707.2873677676
16.1908333333333,34624.6809525989,57707.2875162802
16.1916666666667,34624.6809526128,57707.2876647498
16.1925,34624.6809526266,57707.2878131766
16.1933333333333,34624.6809526404,57707.2879615605
16.1941666666667,34624.6809526542,57707.2881099015
16.195,34624.680952668,57707.2882581997
16.1958333333333,34624.6809526818,57707.2884064551
16.1966666666667,34624.6809526956,57707.2885546677
16.1975,34624.6809527094,57707.2887028375
16.1983333333333,34624.6809527232,57707.2888509645
16.1991666666667,34624.680952737,57707.2889990487
16.2,34624.6809527507,57707.2891470902
